Name,Experience,Specialty
Dr. Satvinder Kapoor,30+ Years,Rheumatologist
Dr. Rameshwar Bishnoi,16+ Years,Cardiologist
Dr. Ashok Vaid,47+ Years,ENT_specialist
Dr. Rajesh Mishra,31+ Years,ENT_specialist
Dr. Amit Gupta,18+ Years,Neurologist
Dr. Yogesh Kumar Chhabra,16+ Years,Urologist
Dr. Piyush Gupta,No Experience Mentioned,Gastroenterologist
Dr. Sanjay Dhall,36+ Years,Rheumatologist
Dr. Neeru Gera,32+ Years,Cardiologist
Dr. Chandrashekhar,19+ Years,Cardiologist
Dr. Hemant Kalra,No Experience Mentioned,ENT_specialist
Dr. Ashish Jain,28+ Years,Orthopedist
Dr. Satya Narain Saroha,No Experience Mentioned,Orthopedist
Dr. K K Jindal,No Experience Mentioned,Neurologist
Dr. Manoj Khanal,17+ Years,Neurologist
Dr. Waheed Zaman,28+ Years,Urologist
Dr. (Col) V K Gupta,39+ Years,Gastroenterologist
Dr. (Col.) Manjit Singh Paul,30+ Years,Gastroenterologist

